client_id,commune,date_plainte,canal,type_plainte,statut,date_resolution
CUST0037,M'Sila,2025-06-07,Appel Call Center,Facturation,Résolu,2025-06-11
CUST0038,M'Sila,2025-02-10,Appel Call Center,Interruption Réseau,Résolu,2025-02-12
CUST0039,Ain El Hadjel,2025-03-06,Appel Call Center,Interruption Réseau,En Cours,
CUST0040,Bou Saâda,2025-10-09,Plainte Écrite,Service Client,Résolu,2025-10-12
CUST0041,Sidi Aïssa,2025-08-05,Plainte Écrite,Interruption Réseau,Résolu,2025-08-09
CUST0042,Bou Saâda,2025-07-24,Plainte Écrite,Facturation,Résolu,2025-08-04
CUST0043,Sidi Aïssa,2025-08-20,Formulaire Web,Interruption Réseau,Résolu,2025-08-22
CUST0044,Bou Saâda,2025-06-23,Appel Call Center,ADSL,Non Traité,
CUST0045,M'Sila,2025-04-28,Plainte Écrite,Interruption Réseau,Résolu,2025-05-08
CUST0046,Bou Saâda,2025-12-29,Appel Call Center,ADSL,En Cours,
CUST0047,M'Sila,2025-01-17,Appel Call Center,ADSL,Résolu,2025-01-31
CUST0048,Sidi Aïssa,2025-05-02,Appel Call Center,Interruption Réseau,Résolu,2025-05-07
CUST0049,Ain El Hadjel,2025-03-09,Appel Call Center,Interruption Réseau,Résolu,2025-03-21
CUST0050,Ain El Hadjel,2025-07-28,Appel Call Center,Service Client,Résolu,2025-08-01
CUST0051,M'Sila,2025-07-01,Appel Call Center,Service Client,Non Traité,
CUST0052,Ain El Hadjel,2025-01-28,Formulaire Web,Service Client,En Cours,
CUST0053,M'Sila,2025-06-23,Appel Call Center,Service Client,Non Traité,
CUST0054,M'Sila,2025-04-08,Appel Call Center,Fibre FTTH,Non Traité,
CUST0055,Ain El Hadjel,2025-04-04,Appel Call Center,Service Client,Résolu,2025-04-09
CUST0056,Ain El Hadjel,2025-08-15,Appel Call Center,ADSL,Non Traité,
CUST0057,M'Sila,2025-01-08,Appel Call Center,Interruption Réseau,Résolu,2025-01-10
CUST0058,Bou Saâda,2025-09-06,Appel Call Center,Service Client,Résolu,2025-09-14
CUST0059,Bou Saâda,2025-03-26,Formulaire Web,ADSL,Résolu,2025-04-02
CUST0060,M'Sila,2025-08-21,Formulaire Web,Facturation,Résolu,2025-08-26
CUST0061,Ain El Hadjel,2025-12-05,Plainte Écrite,Interruption Réseau,Résolu,2025-12-17
CUST0062,Ain El Hadjel,2025-06-01,Appel Call Center,Fibre FTTH,Résolu,2025-06-05
CUST0063,M'Sila,2025-02-01,Plainte Écrite,Interruption Réseau,En Cours,
CUST0064,Sidi Aïssa,2025-10-27,Appel Call Center,ADSL,Résolu,2025-11-04
CUST0065,Bou Saâda,2025-02-11,Appel Call Center,Interruption Réseau,Résolu,2025-02-25
CUST0066,Bou Saâda,2025-02-04,Appel Call Center,Interruption Réseau,Résolu,2025-02-15
CUST0067,Bou Saâda,2025-10-19,Formulaire Web,ADSL,Résolu,2025-10-23
CUST0068,M'Sila,2025-08-03,Plainte Écrite,ADSL,En Cours,
CUST0069,Sidi Aïssa,2025-12-09,Formulaire Web,Fibre FTTH,Résolu,2025-12-21
CUST0070,Sidi Aïssa,2025-07-22,Appel Call Center,Facturation,Non Traité,
CUST0071,Bou Saâda,2025-08-23,Plainte Écrite,Facturation,En Cours,
CUST0072,Sidi Aïssa,2025-08-23,Appel Call Center,ADSL,Résolu,2025-09-02
CUST0073,M'Sila,2025-04-20,Appel Call Center,Interruption Réseau,Résolu,2025-04-29
CUST0074,Sidi Aïssa,2025-02-05,Appel Call Center,Facturation,En Cours,
CUST0075,Bou Saâda,2025-03-22,Formulaire Web,Facturation,En Cours,
CUST0076,Ain El Hadjel,2025-11-10,Plainte Écrite,Facturation,En Cours,
CUST0077,M'Sila,2025-06-03,Plainte Écrite,Interruption Réseau,En Cours,
CUST0078,M'Sila,2025-03-01,Appel Call Center,Facturation,Résolu,2025-03-03
CUST0079,Bou Saâda,2025-11-06,Formulaire Web,Facturation,Résolu,2025-11-10
CUST0080,Sidi Aïssa,2025-09-16,Appel Call Center,Facturation,Résolu,2025-09-24
CUST0081,Sidi Aïssa,2025-11-21,Appel Call Center,ADSL,Non Traité,
CUST0082,Ain El Hadjel,2025-01-02,Formulaire Web,ADSL,En Cours,
CUST0083,Sidi Aïssa,2025-03-24,Appel Call Center,Facturation,Résolu,2025-04-05
CUST0084,Ain El Hadjel,2025-10-15,Plainte Écrite,Service Client,Résolu,2025-10-16
CUST0085,M'Sila,2025-10-07,Appel Call Center,Fibre FTTH,Résolu,2025-10-08
CUST0086,Sidi Aïssa,2025-03-17,Plainte Écrite,Interruption Réseau,Résolu,2025-03-24
CUST0087,Bou Saâda,2025-07-06,Appel Call Center,Facturation,En Cours,
CUST0088,M'Sila,2025-12-16,Formulaire Web,Fibre FTTH,En Cours,
CUST0089,Bou Saâda,2025-07-01,Plainte Écrite,ADSL,Non Traité,
CUST0090,Ain El Hadjel,2025-05-02,Plainte Écrite,Fibre FTTH,Résolu,2025-05-16
CUST0091,Bou Saâda,2025-01-13,Appel Call Center,Service Client,Résolu,2025-01-16
CUST0092,Sidi Aïssa,2025-05-17,Formulaire Web,Fibre FTTH,En Cours,
CUST0093,Bou Saâda,2025-07-15,Plainte Écrite,ADSL,En Cours,
CUST0094,M'Sila,2025-04-13,Formulaire Web,Fibre FTTH,Résolu,2025-04-27
CUST0095,Ain El Hadjel,2025-04-27,Formulaire Web,Facturation,En Cours,
CUST0096,Bou Saâda,2025-07-24,Appel Call Center,Fibre FTTH,Résolu,2025-07-30
CUST0097,Sidi Aïssa,2025-06-29,Appel Call Center,Facturation,Résolu,2025-07-10
CUST0098,Ain El Hadjel,2025-06-19,Plainte Écrite,Interruption Réseau,Résolu,2025-06-20
CUST0099,M'Sila,2025-10-25,Formulaire Web,Fibre FTTH,Résolu,2025-10-30
CUST0100,M'Sila,2025-08-11,Appel Call Center,Interruption Réseau,Résolu,2025-08-17
CUST0101,Sidi Aïssa,2025-09-19,Formulaire Web,Interruption Réseau,Résolu,2025-09-21
CUST0102,Ain El Hadjel,2025-05-11,Plainte Écrite,Fibre FTTH,En Cours,
CUST0103,M'Sila,2025-01-01,Plainte Écrite,Service Client,Résolu,2025-01-10
CUST0104,Bou Saâda,2025-02-05,Formulaire Web,Service Client,Résolu,2025-02-16
CUST0105,Sidi Aïssa,2025-12-06,Plainte Écrite,Facturation,Non Traité,
CUST0106,M'Sila,2025-09-17,Plainte Écrite,Facturation,Résolu,2025-09-22
CUST0107,Ain El Hadjel,2025-12-23,Formulaire Web,Service Client,Résolu,2025-12-28
CUST0108,Bou Saâda,2025-12-07,Appel Call Center,Service Client,En Cours,
CUST0109,Ain El Hadjel,2025-11-12,Plainte Écrite,Fibre FTTH,Résolu,2025-11-22
CUST0110,Sidi Aïssa,2025-01-01,Formulaire Web,Interruption Réseau,Résolu,2025-01-06
CUST0111,Sidi Aïssa,2025-10-24,Appel Call Center,Service Client,Résolu,2025-11-03
CUST0112,Sidi Aïssa,2025-08-15,Formulaire Web,Service Client,Résolu,2025-08-26
CUST0113,Bou Saâda,2025-03-28,Plainte Écrite,Service Client,Non Traité,
CUST0114,M'Sila,2025-12-06,Formulaire Web,Interruption Réseau,En Cours,
CUST0115,Sidi Aïssa,2025-12-11,Appel Call Center,Fibre FTTH,En Cours,
CUST0116,Sidi Aïssa,2025-03-17,Appel Call Center,Fibre FTTH,Non Traité,
CUST0117,M'Sila,2025-09-01,Appel Call Center,Fibre FTTH,En Cours,
CUST0118,M'Sila,2025-11-19,Formulaire Web,Service Client,Résolu,2025-11-29
CUST0119,Bou Saâda,2025-09-11,Plainte Écrite,Service Client,Non Traité,
CUST0120,Ain El Hadjel,2025-12-02,Appel Call Center,Fibre FTTH,Résolu,2025-12-14
CUST0121,M'Sila,2025-04-23,,Service Client,En Cours,
CUST0122,Bou Saâda,2025-08-26,Plainte Écrite,Interruption Réseau,Non Traité,
CUST0123,M'Sila,2025-03-04,Plainte Écrite,Fibre FTTH,Résolu,2025-03-12
CUST0124,Bou Saâda,2025-10-14,Formulaire Web,Interruption Réseau,Résolu,2025-10-24
CUST0125,Sidi Aïssa,2025-09-16,Formulaire Web,Interruption Réseau,Résolu,2025-09-23
CUST0126,Ain El Hadjel,2025-08-19,Appel Call Center,Service Client,Résolu,2025-08-24
CUST0127,Bou Saâda,2025-09-24,Plainte Écrite,Facturation,En Cours,
CUST0128,Ain El Hadjel,2025-05-21,Plainte Écrite,Fibre FTTH,Non Traité,
CUST0129,Ain El Hadjel,2025-05-01,Appel Call Center,Facturation,Résolu,2025-05-06
CUST0130,Sidi Aïssa,2025-02-11,Formulaire Web,Interruption Réseau,Résolu,2025-02-14
CUST0131,Bou Saâda,2025-12-22,Appel Call Center,Service Client,Résolu,2025-12-25
CUST0132,Bou Saâda,2025-07-28,Appel Call Center,Service Client,Résolu,2025-08-03
CUST0133,Ain El Hadjel,2025-04-16,Formulaire Web,ADSL,Résolu,2025-04-30
CUST0134,Ain El Hadjel,2025-12-23,Formulaire Web,Interruption Réseau,Résolu,2025-12-24
CUST0135,Ain El Hadjel,2025-06-30,Formulaire Web,ADSL,Non Traité,
CUST0136,Sidi Aïssa,2025-10-03,Formulaire Web,Service Client,Résolu,2025-10-15
CUST0137,Bou Saâda,2025-05-20,Formulaire Web,Fibre FTTH,Résolu,2025-05-27
CUST0138,Ain El Hadjel,2025-06-22,Appel Call Center,Service Client,En Cours,
CUST0139,Ain El Hadjel,2025-08-28,Plainte Écrite,Fibre FTTH,Résolu,2025-08-31
CUST0140,M'Sila,2025-10-16,Formulaire Web,Interruption Réseau,Non Traité,
CUST0141,M'Sila,2025-03-11,Appel Call Center,Service Client,Non Traité,
CUST0142,Ain El Hadjel,2025-05-14,Appel Call Center,ADSL,Résolu,2025-05-21
CUST0143,Sidi Aïssa,2025-06-17,Appel Call Center,Service Client,Résolu,2025-06-23
CUST0144,Ain El Hadjel,2025-05-10,Formulaire Web,Service Client,Résolu,2025-05-24
CUST0145,M'Sila,2025-10-04,Formulaire Web,ADSL,Résolu,2025-10-05
CUST0146,Sidi Aïssa,2025-11-30,Appel Call Center,ADSL,Résolu,2025-12-01
CUST0147,M'Sila,2025-01-11,Appel Call Center,Fibre FTTH,En Cours,
CUST0148,Bou Saâda,2025-08-31,Appel Call Center,Fibre FTTH,Résolu,2025-09-11
CUST0149,M'Sila,2025-08-27,Plainte Écrite,Fibre FTTH,Résolu,2025-09-08
CUST0150,Sidi Aïssa,2025-11-07,Formulaire Web,Fibre FTTH,Résolu,2025-11-17
CUST0151,M'Sila,2025-02-25,,Facturation,Non Traité,
CUST0152,M'Sila,2025-12-13,Formulaire Web,Interruption Réseau,Résolu,2025-12-20
CUST0153,Ain El Hadjel,2025-02-08,Plainte Écrite,Fibre FTTH,Résolu,2025-02-18
CUST0154,Bou Saâda,2025-12-17,Appel Call Center,Facturation,Résolu,2025-12-27
CUST0155,M'Sila,2025-06-27,Plainte Écrite,ADSL,Non Traité,
CUST0156,Ain El Hadjel,2025-02-05,Plainte Écrite,Facturation,Résolu,2025-02-14
CUST0157,Sidi Aïssa,2025-09-08,Appel Call Center,Service Client,En Cours,
CUST0158,M'Sila,2025-11-22,Formulaire Web,Facturation,En Cours,
CUST0159,Ain El Hadjel,2025-08-11,Plainte Écrite,Fibre FTTH,Résolu,2025-08-14
CUST0160,Sidi Aïssa,2025-09-05,Plainte Écrite,Interruption Réseau,En Cours,
CUST0161,Ain El Hadjel,2025-05-18,Formulaire Web,Interruption Réseau,Résolu,2025-05-24
CUST0162,Bou Saâda,2025-08-19,Appel Call Center,Facturation,En Cours,
CUST0163,Bou Saâda,2025-11-09,Formulaire Web,Interruption Réseau,En Cours,
CUST0164,Ain El Hadjel,2025-09-11,Formulaire Web,ADSL,Résolu,2025-09-25
CUST0165,Sidi Aïssa,2025-04-19,Appel Call Center,Service Client,Résolu,2025-04-25
CUST0166,Sidi Aïssa,2025-11-02,Formulaire Web,Facturation,En Cours,
CUST0167,Sidi Aïssa,2025-09-22,Plainte Écrite,ADSL,Résolu,2025-09-26
CUST0168,M'Sila,2025-09-08,Appel Call Center,Service Client,Résolu,2025-09-17
CUST0169,Bou Saâda,2025-11-27,Plainte Écrite,Service Client,Résolu,2025-12-09
CUST0170,Ain El Hadjel,2025-02-17,Formulaire Web,ADSL,Résolu,2025-02-22
CUST0171,Bou Saâda,2025-06-06,,Fibre FTTH,En Cours,
CUST0172,Sidi Aïssa,2025-09-29,Formulaire Web,Interruption Réseau,Résolu,2025-10-05
CUST0173,Ain El Hadjel,2025-06-19,Plainte Écrite,Interruption Réseau,Résolu,2025-06-25
CUST0174,Ain El Hadjel,2025-05-09,Formulaire Web,Facturation,Résolu,2025-05-13
CUST0175,M'Sila,2025-06-11,Plainte Écrite,Fibre FTTH,En Cours,
CUST0176,M'Sila,2025-12-20,Plainte Écrite,Interruption Réseau,Résolu,2025-12-23
CUST0177,Bou Saâda,2025-05-22,Appel Call Center,Service Client,En Cours,
CUST0178,Sidi Aïssa,2025-06-01,Appel Call Center,Fibre FTTH,Résolu,2025-06-05
CUST0179,Sidi Aïssa,2025-01-08,Appel Call Center,Facturation,Non Traité,
CUST0180,Bou Saâda,2025-01-28,Formulaire Web,ADSL,Résolu,2025-02-06
CUST0181,Sidi Aïssa,2025-11-23,Plainte Écrite,Fibre FTTH,Résolu,2025-12-07
CUST0182,Ain El Hadjel,2025-10-21,Appel Call Center,ADSL,Résolu,2025-10-26
CUST0183,Ain El Hadjel,2025-06-24,Formulaire Web,Service Client,Non Traité,
CUST0184,Bou Saâda,2025-09-02,,Facturation,Non Traité,
CUST0185,M'Sila,2025-09-09,,Service Client,Résolu,2025-09-11
CUST0186,M'Sila,2025-10-16,Appel Call Center,Fibre FTTH,En Cours,
CUST0187,Sidi Aïssa,2025-03-02,,Fibre FTTH,En Cours,
CUST0188,Ain El Hadjel,2025-11-13,Plainte Écrite,Interruption Réseau,Résolu,2025-11-17
CUST0189,Ain El Hadjel,2025-06-02,Formulaire Web,Service Client,Résolu,2025-06-16
CUST0190,Ain El Hadjel,2025-11-14,Formulaire Web,Interruption Réseau,Résolu,2025-11-15
CUST0191,M'Sila,2025-05-16,Appel Call Center,Fibre FTTH,Résolu,2025-05-27
CUST0192,M'Sila,2025-03-30,Appel Call Center,Fibre FTTH,Non Traité,
CUST0193,M'Sila,2025-07-29,Appel Call Center,ADSL,Non Traité,
CUST0194,Ain El Hadjel,2025-08-29,Plainte Écrite,Interruption Réseau,En Cours,
CUST0195,Sidi Aïssa,2025-05-28,Appel Call Center,Fibre FTTH,Résolu,2025-06-09
CUST0196,Sidi Aïssa,2025-02-06,Plainte Écrite,Service Client,Résolu,2025-02-17
CUST0197,Bou Saâda,2025-12-05,Formulaire Web,Interruption Réseau,En Cours,
CUST0198,Bou Saâda,2025-10-06,Formulaire Web,ADSL,Non Traité,
CUST0199,Bou Saâda,2025-05-17,Plainte Écrite,Fibre FTTH,Non Traité,
CUST0200,Bou Saâda,2025-03-26,Appel Call Center,ADSL,En Cours,
CUST0201,Sidi Aïssa,2025-05-28,Plainte Écrite,Interruption Réseau,En Cours,
CUST0202,Ain El Hadjel,2025-12-19,Appel Call Center,Service Client,Résolu,2025-12-24
CUST0203,Ain El Hadjel,2025-10-04,Formulaire Web,Interruption Réseau,Résolu,2025-10-12
CUST0204,Ain El Hadjel,2025-01-21,Appel Call Center,Interruption Réseau,Non Traité,
CUST0205,Ain El Hadjel,2025-11-06,Plainte Écrite,Facturation,En Cours,
CUST0206,Sidi Aïssa,2025-04-28,Appel Call Center,ADSL,Résolu,2025-05-09
CUST0207,M'Sila,2025-10-23,Plainte Écrite,Facturation,Résolu,2025-10-24
CUST0208,Bou Saâda,2025-11-30,Formulaire Web,Interruption Réseau,En Cours,
CUST0209,Ain El Hadjel,2025-10-27,Formulaire Web,Fibre FTTH,Résolu,2025-11-03
CUST0210,Ain El Hadjel,2025-06-28,Appel Call Center,Service Client,Résolu,2025-07-05
CUST0211,Sidi Aïssa,2025-03-24,Formulaire Web,ADSL,Résolu,2025-03-30
CUST0212,Ain El Hadjel,2025-05-28,,Service Client,En Cours,
CUST0213,Ain El Hadjel,2025-08-21,Plainte Écrite,ADSL,En Cours,
CUST0214,M'Sila,2025-06-15,Formulaire Web,Facturation,Résolu,2025-06-17
CUST0215,Ain El Hadjel,2025-12-03,Plainte Écrite,ADSL,En Cours,
CUST0216,Ain El Hadjel,2025-04-07,Formulaire Web,ADSL,Résolu,2025-04-16
CUST0217,Sidi Aïssa,2025-11-17,Plainte Écrite,Service Client,Résolu,2025-11-25
CUST0218,M'Sila,2025-10-09,Appel Call Center,Facturation,En Cours,
CUST0219,Bou Saâda,2025-12-24,Formulaire Web,Service Client,En Cours,
CUST0220,Ain El Hadjel,2025-11-19,Appel Call Center,ADSL,En Cours,
CUST0221,Bou Saâda,2025-06-09,Plainte Écrite,Fibre FTTH,En Cours,
CUST0222,M'Sila,2025-02-17,Plainte Écrite,Service Client,Résolu,2025-02-21
CUST0223,M'Sila,2025-11-28,Formulaire Web,ADSL,Résolu,2025-12-12
CUST0224,Bou Saâda,2025-09-18,Formulaire Web,Facturation,Résolu,2025-09-30
CUST0225,Sidi Aïssa,2025-08-30,Formulaire Web,Service Client,Résolu,2025-09-03
CUST0226,Ain El Hadjel,2025-07-16,Plainte Écrite,Fibre FTTH,Résolu,2025-07-20
CUST0227,Bou Saâda,2025-08-01,Appel Call Center,Facturation,Non Traité,
CUST0228,Sidi Aïssa,2025-01-02,Plainte Écrite,Facturation,Résolu,2025-01-07
CUST0229,Sidi Aïssa,2025-12-04,Plainte Écrite,Interruption Réseau,Non Traité,
CUST0230,Ain El Hadjel,2025-10-03,,Service Client,En Cours,
CUST0231,Ain El Hadjel,2025-10-10,Formulaire Web,Facturation,En Cours,
CUST0232,Ain El Hadjel,2025-04-07,Formulaire Web,Facturation,Résolu,2025-04-19
CUST0233,Bou Saâda,2025-04-30,Plainte Écrite,Service Client,Résolu,2025-05-14
CUST0234,Ain El Hadjel,2025-08-31,Appel Call Center,Facturation,Résolu,2025-09-12
CUST0235,Ain El Hadjel,2025-09-11,Formulaire Web,Fibre FTTH,Résolu,2025-09-12
CUST0236,Bou Saâda,2025-06-19,Plainte Écrite,Interruption Réseau,En Cours,
CUST0237,M'Sila,2025-09-27,Formulaire Web,ADSL,Résolu,2025-10-05
CUST0238,M'Sila,2025-07-29,Plainte Écrite,Fibre FTTH,Résolu,2025-08-12
CUST0239,Bou Saâda,2025-05-16,Appel Call Center,Service Client,En Cours,
CUST0240,Sidi Aïssa,2025-11-29,Plainte Écrite,Service Client,Résolu,2025-12-01
CUST0241,Sidi Aïssa,2025-07-14,Plainte Écrite,Interruption Réseau,Non Traité,
CUST0242,Sidi Aïssa,2025-10-05,Plainte Écrite,Service Client,Non Traité,
CUST0243,M'Sila,2025-05-01,Plainte Écrite,ADSL,Non Traité,
CUST0244,Sidi Aïssa,2025-08-11,Appel Call Center,ADSL,Résolu,2025-08-13
CUST0245,M'Sila,2025-12-22,Formulaire Web,Fibre FTTH,Résolu,2025-12-27
CUST0246,M'Sila,2025-01-29,Appel Call Center,Facturation,Non Traité,
CUST0247,Sidi Aïssa,2025-08-09,Formulaire Web,Facturation,Résolu,2025-08-12
CUST0248,Bou Saâda,2025-10-17,Plainte Écrite,Service Client,Non Traité,
CUST0249,Bou Saâda,2025-02-10,Appel Call Center,Fibre FTTH,Non Traité,
CUST0250,Ain El Hadjel,2025-09-12,Plainte Écrite,Fibre FTTH,Non Traité,
CUST0251,Bou Saâda,2025-11-23,Appel Call Center,Service Client,Résolu,2025-11-28
CUST0252,Ain El Hadjel,2025-08-27,Formulaire Web,ADSL,Résolu,2025-09-01
CUST0253,Bou Saâda,2025-06-26,Appel Call Center,Service Client,Non Traité,
CUST0254,Sidi Aïssa,2025-12-20,Plainte Écrite,Service Client,Résolu,2025-12-25
CUST0255,Ain El Hadjel,2025-07-16,Formulaire Web,Fibre FTTH,Résolu,2025-07-30
CUST0256,Ain El Hadjel,2025-07-15,Appel Call Center,Fibre FTTH,Résolu,2025-07-25
CUST0257,Sidi Aïssa,2025-12-25,Plainte Écrite,Facturation,Non Traité,
CUST0258,Sidi Aïssa,2025-05-21,Appel Call Center,Service Client,En Cours,
CUST0259,M'Sila,2025-11-07,Plainte Écrite,ADSL,Résolu,2025-11-19
CUST0260,Ain El Hadjel,2025-11-07,Formulaire Web,Fibre FTTH,Résolu,2025-11-20
CUST0261,Sidi Aïssa,2025-11-14,Appel Call Center,Fibre FTTH,En Cours,
CUST0262,Sidi Aïssa,2025-11-18,Plainte Écrite,Fibre FTTH,Non Traité,
CUST0263,M'Sila,2025-06-08,Plainte Écrite,ADSL,Résolu,2025-06-21
CUST0264,Ain El Hadjel,2025-07-06,Appel Call Center,Interruption Réseau,Résolu,2025-07-18
CUST0265,Bou Saâda,2025-06-17,Appel Call Center,Facturation,Non Traité,
CUST0266,Ain El Hadjel,2025-03-09,Appel Call Center,Fibre FTTH,En Cours,
CUST0267,Sidi Aïssa,2025-05-20,Plainte Écrite,Interruption Réseau,En Cours,
CUST0268,Bou Saâda,2025-06-01,Formulaire Web,Service Client,En Cours,
CUST0269,Sidi Aïssa,2025-02-08,Appel Call Center,Service Client,Résolu,2025-02-11
CUST0270,Bou Saâda,2025-10-13,Plainte Écrite,Service Client,Résolu,2025-10-19
CUST0271,M'Sila,2025-05-16,,ADSL,En Cours,
CUST0272,M'Sila,2025-12-11,Formulaire Web,Facturation,En Cours,
CUST0273,Sidi Aïssa,2025-11-23,Plainte Écrite,Service Client,Non Traité,
CUST0274,Sidi Aïssa,2025-08-30,Appel Call Center,Fibre FTTH,Non Traité,
CUST0275,M'Sila,2025-06-17,Plainte Écrite,Interruption Réseau,Résolu,2025-06-27
CUST0276,Bou Saâda,2025-11-22,Plainte Écrite,ADSL,Résolu,2025-12-06
CUST0277,Ain El Hadjel,2025-11-29,Plainte Écrite,Facturation,En Cours,
CUST0278,Ain El Hadjel,2025-01-24,Appel Call Center,Fibre FTTH,En Cours,
CUST0279,M'Sila,2025-03-01,Formulaire Web,Service Client,En Cours,
CUST0280,M'Sila,2025-03-11,Appel Call Center,Interruption Réseau,En Cours,
CUST0281,Ain El Hadjel,2025-12-10,Formulaire Web,Facturation,Non Traité,
CUST0282,Ain El Hadjel,2025-08-01,Plainte Écrite,Fibre FTTH,Résolu,2025-08-12
CUST0283,M'Sila,2025-07-28,Formulaire Web,Interruption Réseau,Résolu,2025-08-02
CUST0284,M'Sila,2025-04-22,Plainte Écrite,Facturation,Résolu,2025-04-30
CUST0285,Ain El Hadjel,2025-02-20,Appel Call Center,Facturation,Résolu,2025-03-03
CUST0286,Sidi Aïssa,2025-02-01,Plainte Écrite,Facturation,Résolu,2025-02-08
CUST0287,Sidi Aïssa,2025-08-21,Appel Call Center,ADSL,Résolu,2025-08-23
CUST0288,Bou Saâda,2025-01-11,Plainte Écrite,Interruption Réseau,Résolu,2025-01-12
CUST0289,Sidi Aïssa,2025-10-17,Appel Call Center,Fibre FTTH,Résolu,2025-10-21
CUST0290,M'Sila,2025-10-28,Plainte Écrite,Fibre FTTH,Résolu,2025-11-01
CUST0291,Bou Saâda,2025-11-02,Formulaire Web,Fibre FTTH,Résolu,2025-11-03
CUST0292,Sidi Aïssa,2025-10-04,Appel Call Center,Fibre FTTH,Résolu,2025-10-09
CUST0293,Bou Saâda,2025-03-09,Appel Call Center,ADSL,En Cours,
CUST0294,M'Sila,2025-10-29,Formulaire Web,Fibre FTTH,Résolu,2025-11-04
CUST0295,M'Sila,2025-01-27,Appel Call Center,Facturation,Résolu,2025-01-30
CUST0296,Ain El Hadjel,2025-02-02,Plainte Écrite,ADSL,Résolu,2025-02-10
CUST0297,Ain El Hadjel,2025-10-31,Formulaire Web,Interruption Réseau,En Cours,
CUST0298,M'Sila,2025-04-24,Formulaire Web,Interruption Réseau,Résolu,2025-05-04
CUST0299,M'Sila,2025-06-04,,Interruption Réseau,En Cours,
CUST0300,Ain El Hadjel,2025-02-01,Plainte Écrite,ADSL,Résolu,2025-02-09
CUST0301,Ain El Hadjel,2025-09-09,Formulaire Web,ADSL,Résolu,2025-09-21
CUST0302,Ain El Hadjel,2025-06-14,Appel Call Center,ADSL,Résolu,2025-06-24
CUST0303,Bou Saâda,2025-05-21,Appel Call Center,Fibre FTTH,Résolu,2025-05-31
